,name,market_pairs,circulating,max supply,MC,MC_dominance,sixty_days_change,SC
115,Nervos Network,49,28943.543002317536,0,686.506933105413,0.0301,57.75999673,False
116,Perpetual Protocol,54,68.7,0,686.2048958790534,0.0301,-27.99308401,False
117,Velas,35,2234.207468603174,0,677.7761274401007,0.0297,108.47735768,False
118,SwissBorg,11,1000.0,0,677.0948958146353,0.0297,3.02937012,False
119,Secret,19,149.815729,0,674.9047590255501,0.0296,-18.73099159,False
120,Gnosis,38,1.504587,1,673.8606355734877,0.0296,52.45929233,False
121,Synthetix,174,114.84153301197928,1,649.0972589471421,0.0285,-41.83823269,False
122,Dogelon Mars,24,553254157.0400242,1,648.5187770767208,0.0285,859.55412069,False
123,Raydium,69,77.311043502658,1,641.1970763361448,0.0281,-13.84649611,False
124,UMA,90,64.55152854480927,1,640.9475858955263,0.0281,-4.07151834,False
125,Ontology,130,875.249524,1,636.3672901343191,0.0279,-26.07317796,False
126,Hive,29,382.66043017000004,0,614.9263999584252,0.027,97.1282631,False
127,Storj,88,351.53801163528277,0,601.2138572398331,0.0264,18.88758815,False
128,Ren,123,997.7640510169292,1,591.0563669049561,0.026,-42.00271292,False
129,IOST,83,18099.719631,1,585.7037233069082,0.0257,-40.66958929,False
130,SKALE Network,51,2641.203115,1,583.837317622568,0.0256,-26.5978166,True
131,dYdX,81,65.569295,1,578.3818514794771,0.0254,-65.26662607,False
132,Neutrino USD,32,577.09904901557,0,567.2043305617731,0.0249,0.0463921,False
133,Ocean Protocol,77,613.0991409978136,1,557.9012724666732,0.0245,10.29541813,False
134,DigiByte,97,14911.800498637595,1,546.719197516297,0.024,-25.159641,False
135,Serum,100,133.231781,1,528.4807509662802,0.0232,-47.66082373,True
136,NuCypher,52,695.25,1,525.9590715019355,0.0231,160.65759122,False
137,Kava,61,143.377956,0,525.1418728417993,0.023,-41.15136246,False
138,Golem,52,1000.0,0,511.6531274315493,0.0225,-6.45805475,False
139,WINkLink,53,961737.3,1,507.61125585785305,0.0223,-1.81019574,False
140,Nano,47,133.248297197,1,502.1711128653908,0.022,-29.06435869,False
141,Moonriver,26,2.506417,1,495.8548085437132,0.0218,-28.28745353,True
142,Polymath,37,898.55082967,0,493.9578281623328,0.0217,-30.11236994,False
143,Ultra,26,282.7852301445,0,489.3404424004813,0.0215,200.64911379,False
144,JUST,61,7300.425,1,487.77055199313014,0.0214,-19.58624447,False
145,Request,42,999.8771156306943,1,471.8231108691161,0.0207,152.94405064,True
146,XYO,31,12844.8212659205,0,465.91583261335774,0.0204,12.20557983,False
147,Reserve Rights,80,13159.997676898001,1,458.6666285430842,0.0201,-3.54563327,False
148,GateToken,17,77.57215808490733,0,455.93581702512523,0.02,48.59011586,False
149,Casper,25,2779.891349,0,445.3140546169971,0.0195,35.85423961,False
150,CEEK VR,22,743.816729245471,0,444.88571444036353,0.0195,4957.05099857,False
151,WOO Network,47,574.2625364688964,1,425.89787746312646,0.0187,-27.2621815,False
152,Fei USD,28,424.9961777889056,0,425.25404123818566,0.0187,-0.05551654,False
153,Celer Network,60,6076.711958398,1,425.3136162441916,0.0187,-54.55223834,False
154,BICONOMY (BICO),31,65.374608,0,409.0419500429095,0.018,39.9739529,False
155,Fetch.ai,56,746.113681,1,409.3038262718433,0.018,-31.93710303,False
156,MyNeighborAlice,68,30.6,1,404.174009390006,0.0177,9.71544093,False
157,OriginTrail,18,363.90604066500964,1,395.59429497214484,0.0174,93.19305688,True
158,DigitalBits,8,874.6080820417932,0,388.97662456014075,0.0171,-22.37912609,False
159,Function X,17,408.520357,1,377.0152712806061,0.0165,-13.7183019,False
160,Injective Protocol,59,43.65555333,1,374.7055276401478,0.0165,-22.0533257,True
161,WazirX,60,325.05686434196906,0,370.3592166258827,0.0163,-7.47819989,False
162,Dent,40,99007.79120273587,0,366.1498036058131,0.0161,-31.07348886,False
163,Mdex,60,796.47777353923,0,362.65543463713243,0.0159,-70.3642844,False
164,Syscoin,22,623.880790506586,1,357.46819777306683,0.0157,98.44519122,False
165,Cartesi,50,487.34973090035,1,356.5911558585573,0.0157,18.42813447,False
166,BakeryToken,53,289.77079080853105,0,355.4555054031699,0.0156,-33.46016771,False
167,Lisk,59,128.90044452198455,0,353.82166542184774,0.0155,-15.8812456,True
168,Alpha Finance Lab,60,446.330126,1,343.30429146778056,0.0151,-21.07145791,False
169,Chromia,53,567.369439,1,343.77026702509136,0.0151,87.69035874,False
170,Dvision Network,14,279.49629,1,329.08530980666984,0.0144,149.23576782,False
171,MediBloc,7,5382.40114,0,321.6628154657494,0.0141,-21.35052286,False
172,HUSD,70,320.2365867470857,0,320.2991773359978,0.014,-0.02409347,False
173,PAX Gold,49,0.179542036,0,319.4335717274012,0.014,0.89157982,False
174,Energy Web Token,18,30.062138,1,318.81312111749634,0.014,-1.41547495,False
175,Swipe,107,192.76878860917594,1,305.5576845925439,0.0134,-37.32927549,False
176,Verge,49,16488.558587833628,1,304.56824757975664,0.0134,-25.04320032,False
177,Reef,68,16112.552172,0,302.3033781883114,0.0133,-7.29097798,False
178,Bitcoin Standard Hashrate Token,16,11.42101280418485,1,294.9730264419795,0.0129,-48.26907296,False
179,Polkastarter,36,83.211432,0,283.67126017687053,0.0124,63.98741769,False
180,COTI,52,868.67211803,1,278.84468162779524,0.0122,-38.20425726,False
181,VeThor Token,28,43157.804721,0,274.36926592486,0.012,-31.94130547,False
182,NKN,35,700.0,1,271.9888621061462,0.0119,12.72699951,False
183,Orchid,64,690.6900837746798,0,271.6133314185086,0.0119,15.06155654,False
184,Flux,19,221.1801047495742,1,268.80130077187835,0.0118,190.39298373,False
185,Status,69,3470.483788,0,267.80577115268363,0.0118,-17.5610348,False
186,Bitcoin Diamond,25,186.492897953,1,265.14846900733136,0.0116,-37.69029605,False
187,Origin Protocol,72,388.57073254,1,264.92892388467806,0.0116,-18.57029849,False
188,Unibright,19,149.99999924349333,1,264.5175791635528,0.0116,-22.39264314,False
189,Sun (New),38,10514.908025,0,261.35422488057276,0.0115,-13.85123898,False
190,Divi,10,2636.911141196155,0,259.5361002483422,0.0114,169.39933193,False
191,StormX,31,10000.0,1,258.07300031120553,0.0113,-22.62752255,False
192,Ardor,22,998.999495,1,256.19146726130555,0.0112,-30.80858188,False
193,Conflux,29,1155.7358747720134,0,246.12850574651318,0.0108,-40.62502283,True
194,iExec RLC,52,80.07079323876735,0,246.61152755857955,0.0108,-15.02542685,False
195,Civic,69,670.0,0,243.38444857330978,0.0107,-26.87695635,False
196,MCO,10,15.793831094963,0,237.43715141889655,0.0104,57.5079921,False
197,MX Token,9,99.9999999997,0,234.54837636109932,0.0103,111.06903444,False
198,Ontology Gas,41,267.03660731274243,1,231.80774647015608,0.0102,-30.6545198,False
199,Ampleforth,27,244.2264144424628,1,228.8057817968954,0.01,-16.98833426,False
200,HEX,28,173411.07441306498,0,24364.361479934807,0.0,-66.85727411,False
201,Lido stETH,8,1.5566583454027199,1,6432.700817325193,0.0,21.44285502,False
202,Radix,2,12110.223457723,1,3055.427708201229,0.0,107.12496059,False
203,Wrapped BNB,2931,4.9473115006098,0,2890.2011347382913,0.0,42.36049888,False
204,Huobi BTC,9,0.03988408220474,1,1922.5400705092143,0.0,-13.46798986,False
205,yOUcash,4,6816.834541541632,1,1622.7658883908948,0.0,35.92420134,False
206,Symbol,30,5582.460004558402,1,1475.3967509968118,0.0,-19.13794919,False
207,LINK,3,5.975799,0,1473.9909294806719,0.0,109.71023997,False
